Ma_SV,Ma_Hoc_Phan,Ten_Mon,So_Tin_Chi,Diem_So,Ky_Hoc,XepLoai,KetQua
A50004,MA110,Giải tích 1,3,6.1,3,C,Đạt
A50004,MI201,Toán rời rạc,3,7.9,3,B,Đạt
A50004,GE121,Tiếng Anh sơ trung cấp 1,2,6.7,3,C,Đạt
A50004,ML115,Chủ nghĩa xã hội khoa học,2,5.4,3,D,Đạt
A50004,NA151,Khoa học môi trường,2,7.5,3,B,Đạt
A50004,CS122,Lập trình hướng đối tượng,3,7.0,4,B,Đạt
A50004,ML202,Tư tưởng Hồ Chí Minh,2,4.5,4,D,Đạt
A50004,GE222,Tiếng Anh sơ trung cấp 2,2,6.9,4,C,Đạt
A50004,MA239,Xác suất thống kê,3,4.2,4,D,Đạt
A50004,IS224,Lập trình khoa học dữ liệu,3,7.7,4,B,Đạt
A50004,AI130,Trí tuệ nhân tạo,3,7.8,4,B,Đạt
A50005,CS100,Tin học đại cương,2,8.3,1,B,Đạt
A50005,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.0,1,B,Đạt
A50005,SH131,Pháp luật đại cương,2,8.0,1,B,Đạt
A50005,ML113,Triết học Mác - Lênin,3,8.6,1,A,Đạt
A50005,GE111,Tiếng Anh sơ cấp 1,2,6.8,1,C,Đạt
A50005,CS121,Lập trình cơ sở 1,3,7.2,2,B,Đạt
A50005,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50005,GE112,Tiếng Anh sơ cấp 2,2,6.8,2,C,Đạt
A50005,ML114,Kinh tế chính trị Mác - Lênin,2,5.5,2,C,Đạt
A50005,CS212,Kiến trúc máy tính,3,10.0,2,A,Đạt
A50005,CS123,Lập trình cơ sở 2,2,7.9,3,B,Đạt
A50005,MA110,Giải tích 1,3,10.0,3,A,Đạt
A50005,MI201,Toán rời rạc,3,5.0,3,D,Đạt
A50005,GE121,Tiếng Anh sơ trung cấp 1,2,10.0,3,A,Đạt
A50005,ML115,Chủ nghĩa xã hội khoa học,2,7.1,3,B,Đạt
A50005,NA151,Khoa học môi trường,2,9.8,3,A,Đạt
A50005,CS122,Lập trình hướng đối tượng,3,8.8,4,A,Đạt
A50005,ML202,Tư tưởng Hồ Chí Minh,2,6.8,4,C,Đạt
A50005,GE222,Tiếng Anh sơ trung cấp 2,2,6.0,4,C,Đạt
A50005,MA239,Xác suất thống kê,3,6.0,4,C,Đạt
A50005,IS224,Lập trình khoa học dữ liệu,3,7.1,4,B,Đạt
A50005,AI130,Trí tuệ nhân tạo,3,7.2,4,B,Đạt
A50006,CS100,Tin học đại cương,2,6.2,1,C,Đạt
A50006,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,5.6,1,C,Đạt
A50006,SH131,Pháp luật đại cương,2,8.0,1,B,Đạt
A50006,ML113,Triết học Mác - Lênin,3,7.5,1,B,Đạt
A50006,GE111,Tiếng Anh sơ cấp 1,2,10.0,1,A,Đạt
A50006,CS121,Lập trình cơ sở 1,3,5.8,2,C,Đạt
A50006,MA120,Đại số tuyến tính,3,7.2,2,B,Đạt
A50006,GE112,Tiếng Anh sơ cấp 2,2,7.1,2,B,Đạt
A50006,ML114,Kinh tế chính trị Mác - Lênin,2,7.1,2,B,Đạt
A50006,CS212,Kiến trúc máy tính,3,6.8,2,C,Đạt
A50006,CS123,Lập trình cơ sở 2,2,8.7,3,A,Đạt
A50006,MA110,Giải tích 1,3,5.6,3,C,Đạt
A50006,MI201,Toán rời rạc,3,8.0,3,B,Đạt
A50006,GE121,Tiếng Anh sơ trung cấp 1,2,6.1,3,C,Đạt
A50006,ML115,Chủ nghĩa xã hội khoa học,2,8.5,3,A,Đạt
A50006,NA151,Khoa học môi trường,2,4.3,3,D,Đạt
A50006,CS122,Lập trình hướng đối tượng,3,7.6,4,B,Đạt
A50006,ML202,Tư tưởng Hồ Chí Minh,2,6.2,4,C,Đạt
A50006,GE222,Tiếng Anh sơ trung cấp 2,2,8.0,4,B,Đạt
A50006,MA239,Xác suất thống kê,3,7.9,4,B,Đạt
A50006,IS224,Lập trình khoa học dữ liệu,3,8.4,4,B,Đạt
A50006,AI130,Trí tuệ nhân tạo,3,7.4,4,B,Đạt
A50007,CS100,Tin học đại cương,2,9.1,1,A,Đạt
A50007,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.1,1,B,Đạt
A50007,SH131,Pháp luật đại cương,2,4.8,1,D,Đạt
A50007,ML113,Triết học Mác - Lênin,3,6.7,1,C,Đạt
A50007,GE111,Tiếng Anh sơ cấp 1,2,6.9,1,C,Đạt
A50007,CS121,Lập trình cơ sở 1,3,8.8,2,A,Đạt
A50007,MA120,Đại số tuyến tính,3,4.5,2,D,Đạt
A50007,GE112,Tiếng Anh sơ cấp 2,2,8.3,2,B,Đạt
A50007,ML114,Kinh tế chính trị Mác - Lênin,2,7.7,2,B,Đạt
A50007,CS212,Kiến trúc máy tính,3,10.0,2,A,Đạt
A50007,CS123,Lập trình cơ sở 2,2,8.3,3,B,Đạt
A50007,MA110,Giải tích 1,3,7.6,3,B,Đạt
A50007,MI201,Toán rời rạc,3,8.2,3,B,Đạt
A50007,GE121,Tiếng Anh sơ trung cấp 1,2,10.0,3,A,Đạt
A50007,ML115,Chủ nghĩa xã hội khoa học,2,9.1,3,A,Đạt
A50007,NA151,Khoa học môi trường,2,8.4,3,B,Đạt
A50007,CS122,Lập trình hướng đối tượng,3,6.2,4,C,Đạt
A50007,ML202,Tư tưởng Hồ Chí Minh,2,6.4,4,C,Đạt
A50007,GE222,Tiếng Anh sơ trung cấp 2,2,7.1,4,B,Đạt
A50007,MA239,Xác suất thống kê,3,8.8,4,A,Đạt
A50007,AI130,Trí tuệ nhân tạo,3,7.7,4,B,Đạt
A50008,CS100,Tin học đại cương,2,9.3,1,A,Đạt
A50008,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,6.8,1,C,Đạt
A50008,SH131,Pháp luật đại cương,2,7.6,1,B,Đạt
A50008,ML113,Triết học Mác - Lênin,3,8.8,1,A,Đạt
A50008,GE111,Tiếng Anh sơ cấp 1,2,9.1,1,A,Đạt
A50008,CS121,Lập trình cơ sở 1,3,8.6,2,A,Đạt
A50008,MA120,Đại số tuyến tính,3,7.3,2,B,Đạt
A50008,GE112,Tiếng Anh sơ cấp 2,2,9.2,2,A,Đạt
A50008,ML114,Kinh tế chính trị Mác - Lênin,2,9.1,2,A,Đạt
A50008,CS212,Kiến trúc máy tính,3,7.6,2,B,Đạt
A50008,CS123,Lập trình cơ sở 2,2,9.3,3,A,Đạt
A50008,MA110,Giải tích 1,3,6.2,3,C,Đạt
A50008,MI201,Toán rời rạc,3,7.0,3,B,Đạt
A50008,GE121,Tiếng Anh sơ trung cấp 1,2,8.7,3,A,Đạt
A50008,ML115,Chủ nghĩa xã hội khoa học,2,6.5,3,C,Đạt
A50008,NA151,Khoa học môi trường,2,8.2,3,B,Đạt
A50008,CS122,Lập trình hướng đối tượng,3,7.8,4,B,Đạt
A50008,ML202,Tư tưởng Hồ Chí Minh,2,8.7,4,A,Đạt
A50008,GE222,Tiếng Anh sơ trung cấp 2,2,10.0,4,A,Đạt
A50008,MA239,Xác suất thống kê,3,6.7,4,C,Đạt
A50008,IS224,Lập trình khoa học dữ liệu,3,6.8,4,C,Đạt
A50008,AI130,Trí tuệ nhân tạo,3,4.7,4,D,Đạt
A50009,CS100,Tin học đại cương,2,7.5,1,B,Đạt
A50009,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.8,1,B,Đạt
A50009,SH131,Pháp luật đại cương,2,8.8,1,A,Đạt
A50009,ML113,Triết học Mác - Lênin,3,5.9,1,C,Đạt
A50009,GE111,Tiếng Anh sơ cấp 1,2,5.6,1,C,Đạt
A50009,CS121,Lập trình cơ sở 1,3,5.8,2,C,Đạt
A50009,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50009,GE112,Tiếng Anh sơ cấp 2,2,6.8,2,C,Đạt
A50009,ML114,Kinh tế chính trị Mác - Lênin,2,9.2,2,A,Đạt
A50009,CS212,Kiến trúc máy tính,3,5.8,2,C,Đạt
A50009,CS123,Lập trình cơ sở 2,2,9.1,3,A,Đạt
A50009,MA110,Giải tích 1,3,6.5,3,C,Đạt
A50009,MI201,Toán rời rạc,3,7.2,3,B,Đạt
A50009,GE121,Tiếng Anh sơ trung cấp 1,2,7.2,3,B,Đạt
A50009,ML115,Chủ nghĩa xã hội khoa học,2,9.2,3,A,Đạt
A50009,NA151,Khoa học môi trường,2,7.8,3,B,Đạt
A50009,CS122,Lập trình hướng đối tượng,3,7.3,4,B,Đạt
A50009,ML202,Tư tưởng Hồ Chí Minh,2,6.0,4,C,Đạt
A50009,GE222,Tiếng Anh sơ trung cấp 2,2,7.1,4,B,Đạt
A50009,MA239,Xác suất thống kê,3,3.6,4,F,Học lại
A50009,IS224,Lập trình khoa học dữ liệu,3,5.8,4,C,Đạt
A50009,AI130,Trí tuệ nhân tạo,3,7.5,4,B,Đạt
A50010,CS100,Tin học đại cương,2,3.9,1,F,Học lại
A50010,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.5,1,B,Đạt
A50010,SH131,Pháp luật đại cương,2,5.8,1,C,Đạt
A50010,ML113,Triết học Mác - Lênin,3,6.5,1,C,Đạt
A50010,GE111,Tiếng Anh sơ cấp 1,2,8.1,1,B,Đạt
A50010,CS121,Lập trình cơ sở 1,3,5.2,2,D,Đạt
A50010,MA120,Đại số tuyến tính,3,5.6,2,C,Đạt
A50010,GE112,Tiếng Anh sơ cấp 2,2,5.9,2,C,Đạt
A50010,ML114,Kinh tế chính trị Mác - Lênin,2,6.0,2,C,Đạt
A50010,CS212,Kiến trúc máy tính,3,8.2,2,B,Đạt
A50010,CS123,Lập trình cơ sở 2,2,7.9,3,B,Đạt
A50010,MA110,Giải tích 1,3,7.0,3,B,Đạt
A50010,MI201,Toán rời rạc,3,6.6,3,C,Đạt
A50010,GE121,Tiếng Anh sơ trung cấp 1,2,8.9,3,A,Đạt
A50010,ML115,Chủ nghĩa xã hội khoa học,2,5.9,3,C,Đạt
A50010,NA151,Khoa học môi trường,2,8.2,3,B,Đạt
A50010,CS122,Lập trình hướng đối tượng,3,6.3,4,C,Đạt
A50010,ML202,Tư tưởng Hồ Chí Minh,2,7.5,4,B,Đạt
A50010,MA239,Xác suất thống kê,3,7.4,4,B,Đạt
A50010,IS224,Lập trình khoa học dữ liệu,3,6.9,4,C,Đạt
A50010,AI130,Trí tuệ nhân tạo,3,6.7,4,C,Đạt
A50011,CS100,Tin học đại cương,2,5.1,1,D,Đạt
A50011,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,5.0,1,D,Đạt
A50011,SH131,Pháp luật đại cương,2,4.6,1,D,Đạt
A50011,ML113,Triết học Mác - Lênin,3,5.4,1,D,Đạt
A50011,GE111,Tiếng Anh sơ cấp 1,2,4.6,1,D,Đạt
A50011,CS121,Lập trình cơ sở 1,3,5.7,2,C,Đạt
A50011,MA120,Đại số tuyến tính,3,5.9,2,C,Đạt
A50011,GE112,Tiếng Anh sơ cấp 2,2,7.8,2,B,Đạt
A50011,ML114,Kinh tế chính trị Mác - Lênin,2,7.9,2,B,Đạt
A50011,CS212,Kiến trúc máy tính,3,6.2,2,C,Đạt
A50011,CS123,Lập trình cơ sở 2,2,6.7,3,C,Đạt
A50011,MA110,Giải tích 1,3,5.1,3,D,Đạt
A50011,MI201,Toán rời rạc,3,8.1,3,B,Đạt
A50011,GE121,Tiếng Anh sơ trung cấp 1,2,3.9,3,F,Học lại
A50011,ML115,Chủ nghĩa xã hội khoa học,2,5.8,3,C,Đạt
A50011,NA151,Khoa học môi trường,2,6.7,3,C,Đạt
A50011,CS122,Lập trình hướng đối tượng,3,6.3,4,C,Đạt
A50011,ML202,Tư tưởng Hồ Chí Minh,2,6.8,4,C,Đạt
A50011,GE222,Tiếng Anh sơ trung cấp 2,2,5.3,4,D,Đạt
A50011,MA239,Xác suất thống kê,3,5.7,4,C,Đạt
A50011,IS224,Lập trình khoa học dữ liệu,3,6.7,4,C,Đạt
A50011,AI130,Trí tuệ nhân tạo,3,6.5,4,C,Đạt
A50012,CS100,Tin học đại cương,2,7.7,1,B,Đạt
A50012,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.5,1,A,Đạt
A50012,SH131,Pháp luật đại cương,2,7.9,1,B,Đạt
A50012,ML113,Triết học Mác - Lênin,3,6.1,1,C,Đạt
A50012,GE111,Tiếng Anh sơ cấp 1,2,9.2,1,A,Đạt
A50012,CS121,Lập trình cơ sở 1,3,8.5,2,A,Đạt
A50012,MA120,Đại số tuyến tính,3,9.2,2,A,Đạt
A50012,GE112,Tiếng Anh sơ cấp 2,2,10.0,2,A,Đạt
A50012,CS212,Kiến trúc máy tính,3,7.6,2,B,Đạt
A50012,CS123,Lập trình cơ sở 2,2,7.7,3,B,Đạt
A50012,MA110,Giải tích 1,3,5.6,3,C,Đạt
A50012,MI201,Toán rời rạc,3,8.1,3,B,Đạt
A50012,GE121,Tiếng Anh sơ trung cấp 1,2,8.5,3,A,Đạt
A50012,ML115,Chủ nghĩa xã hội khoa học,2,6.9,3,C,Đạt
A50012,CS122,Lập trình hướng đối tượng,3,7.6,4,B,Đạt
A50012,ML202,Tư tưởng Hồ Chí Minh,2,6.2,4,C,Đạt
A50012,GE222,Tiếng Anh sơ trung cấp 2,2,9.9,4,A,Đạt
A50012,MA239,Xác suất thống kê,3,7.0,4,B,Đạt
A50012,IS224,Lập trình khoa học dữ liệu,3,6.6,4,C,Đạt
A50012,AI130,Trí tuệ nhân tạo,3,7.1,4,B,Đạt
A50013,CS100,Tin học đại cương,2,3.8,1,F,Học lại
A50013,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,6.2,1,C,Đạt
A50013,SH131,Pháp luật đại cương,2,6.2,1,C,Đạt
A50013,ML113,Triết học Mác - Lênin,3,2.3,1,F,Học lại
A50013,GE111,Tiếng Anh sơ cấp 1,2,7.7,1,B,Đạt
A50013,CS121,Lập trình cơ sở 1,3,7.3,2,B,Đạt
A50013,MA120,Đại số tuyến tính,3,6.3,2,C,Đạt
A50013,GE112,Tiếng Anh sơ cấp 2,2,5.0,2,D,Đạt
A50013,ML114,Kinh tế chính trị Mác - Lênin,2,5.4,2,D,Đạt
A50013,CS212,Kiến trúc máy tính,3,2.7,2,F,Học lại
A50013,CS123,Lập trình cơ sở 2,2,5.2,3,D,Đạt
A50013,MA110,Giải tích 1,3,4.0,3,D,Đạt
A50013,MI201,Toán rời rạc,3,8.8,3,A,Đạt
A50013,GE121,Tiếng Anh sơ trung cấp 1,2,6.0,3,C,Đạt
A50013,ML115,Chủ nghĩa xã hội khoa học,2,4.1,3,D,Đạt
A50013,NA151,Khoa học môi trường,2,5.9,3,C,Đạt
A50013,CS122,Lập trình hướng đối tượng,3,6.4,4,C,Đạt
A50013,ML202,Tư tưởng Hồ Chí Minh,2,5.9,4,C,Đạt
A50013,GE222,Tiếng Anh sơ trung cấp 2,2,5.5,4,C,Đạt
A50013,MA239,Xác suất thống kê,3,4.2,4,D,Đạt
A50013,IS224,Lập trình khoa học dữ liệu,3,6.2,4,C,Đạt
A50013,AI130,Trí tuệ nhân tạo,3,6.9,4,C,Đạt
A50014,CS100,Tin học đại cương,2,9.0,1,A,Đạt
A50014,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.7,1,B,Đạt
A50014,SH131,Pháp luật đại cương,2,9.0,1,A,Đạt
A50014,ML113,Triết học Mác - Lênin,3,6.7,1,C,Đạt
A50014,GE111,Tiếng Anh sơ cấp 1,2,6.9,1,C,Đạt
A50014,CS121,Lập trình cơ sở 1,3,7.4,2,B,Đạt
A50014,MA120,Đại số tuyến tính,3,9.2,2,A,Đạt
A50014,GE112,Tiếng Anh sơ cấp 2,2,8.0,2,B,Đạt
A50014,ML114,Kinh tế chính trị Mác - Lênin,2,10.0,2,A,Đạt
A50014,CS212,Kiến trúc máy tính,3,7.9,2,B,Đạt
A50014,CS123,Lập trình cơ sở 2,2,8.8,3,A,Đạt
A50014,MA110,Giải tích 1,3,9.1,3,A,Đạt
A50014,MI201,Toán rời rạc,3,8.1,3,B,Đạt
A50014,GE121,Tiếng Anh sơ trung cấp 1,2,9.9,3,A,Đạt
A50014,ML115,Chủ nghĩa xã hội khoa học,2,6.4,3,C,Đạt
A50014,NA151,Khoa học môi trường,2,8.4,3,B,Đạt
A50014,CS122,Lập trình hướng đối tượng,3,10.0,4,A,Đạt
A50014,ML202,Tư tưởng Hồ Chí Minh,2,5.9,4,C,Đạt
A50014,GE222,Tiếng Anh sơ trung cấp 2,2,5.6,4,C,Đạt
A50014,MA239,Xác suất thống kê,3,8.1,4,B,Đạt
A50014,IS224,Lập trình khoa học dữ liệu,3,7.9,4,B,Đạt
A50014,AI130,Trí tuệ nhân tạo,3,8.4,4,B,Đạt
A50015,CS100,Tin học đại cương,2,5.5,1,C,Đạt
A50015,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,4.2,1,D,Đạt
A50015,SH131,Pháp luật đại cương,2,4.5,1,D,Đạt
A50015,ML113,Triết học Mác - Lênin,3,6.0,1,C,Đạt
A50015,GE111,Tiếng Anh sơ cấp 1,2,5.6,1,C,Đạt
A50015,CS121,Lập trình cơ sở 1,3,5.9,2,C,Đạt
A50015,MA120,Đại số tuyến tính,3,6.5,2,C,Đạt
A50015,GE112,Tiếng Anh sơ cấp 2,2,4.9,2,D,Đạt
A50015,ML114,Kinh tế chính trị Mác - Lênin,2,5.9,2,C,Đạt
A50015,CS212,Kiến trúc máy tính,3,5.9,2,C,Đạt
A50015,CS123,Lập trình cơ sở 2,2,3.6,3,F,Học lại
A50015,MA110,Giải tích 1,3,5.9,3,C,Đạt
A50015,MI201,Toán rời rạc,3,5.5,3,C,Đạt
A50015,GE121,Tiếng Anh sơ trung cấp 1,2,6.3,3,C,Đạt
A50015,ML115,Chủ nghĩa xã hội khoa học,2,7.0,3,B,Đạt
A50015,NA151,Khoa học môi trường,2,4.1,3,D,Đạt
A50015,CS122,Lập trình hướng đối tượng,3,5.3,4,D,Đạt
A50015,ML202,Tư tưởng Hồ Chí Minh,2,7.0,4,B,Đạt
A50015,GE222,Tiếng Anh sơ trung cấp 2,2,9.2,4,A,Đạt
A50015,MA239,Xác suất thống kê,3,4.8,4,D,Đạt
A50015,IS224,Lập trình khoa học dữ liệu,3,3.7,4,F,Học lại
A50015,AI130,Trí tuệ nhân tạo,3,4.8,4,D,Đạt
A50016,CS100,Tin học đại cương,2,5.6,1,C,Đạt
A50016,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,9.2,1,A,Đạt
A50016,ML113,Triết học Mác - Lênin,3,9.0,1,A,Đạt
A50016,GE111,Tiếng Anh sơ cấp 1,2,6.9,1,C,Đạt
A50016,CS121,Lập trình cơ sở 1,3,7.1,2,B,Đạt
A50016,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50016,GE112,Tiếng Anh sơ cấp 2,2,8.6,2,A,Đạt
A50016,ML114,Kinh tế chính trị Mác - Lênin,2,9.6,2,A,Đạt
A50016,CS212,Kiến trúc máy tính,3,5.0,2,D,Đạt
A50016,CS123,Lập trình cơ sở 2,2,5.5,3,C,Đạt
A50016,MA110,Giải tích 1,3,9.7,3,A,Đạt
A50016,MI201,Toán rời rạc,3,9.1,3,A,Đạt
A50016,GE121,Tiếng Anh sơ trung cấp 1,2,10.0,3,A,Đạt
A50016,ML115,Chủ nghĩa xã hội khoa học,2,9.4,3,A,Đạt
A50016,NA151,Khoa học môi trường,2,7.8,3,B,Đạt
A50016,CS122,Lập trình hướng đối tượng,3,7.2,4,B,Đạt
A50016,ML202,Tư tưởng Hồ Chí Minh,2,9.6,4,A,Đạt
A50016,GE222,Tiếng Anh sơ trung cấp 2,2,7.2,4,B,Đạt
A50016,IS224,Lập trình khoa học dữ liệu,3,7.9,4,B,Đạt
A50016,AI130,Trí tuệ nhân tạo,3,9.0,4,A,Đạt
A50017,CS100,Tin học đại cương,2,5.8,1,C,Đạt
A50017,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.7,1,B,Đạt
A50017,SH131,Pháp luật đại cương,2,3.9,1,F,Học lại
A50017,ML113,Triết học Mác - Lênin,3,6.7,1,C,Đạt
A50017,GE111,Tiếng Anh sơ cấp 1,2,7.9,1,B,Đạt
A50017,CS121,Lập trình cơ sở 1,3,7.9,2,B,Đạt
A50017,MA120,Đại số tuyến tính,3,8.1,2,B,Đạt
A50017,GE112,Tiếng Anh sơ cấp 2,2,7.0,2,B,Đạt
A50017,ML114,Kinh tế chính trị Mác - Lênin,2,7.0,2,B,Đạt
A50017,CS212,Kiến trúc máy tính,3,8.0,2,B,Đạt
A50017,CS123,Lập trình cơ sở 2,2,6.6,3,C,Đạt
A50017,MA110,Giải tích 1,3,6.7,3,C,Đạt
A50017,MI201,Toán rời rạc,3,5.5,3,C,Đạt
A50017,GE121,Tiếng Anh sơ trung cấp 1,2,6.3,3,C,Đạt
A50017,ML115,Chủ nghĩa xã hội khoa học,2,7.2,3,B,Đạt
A50017,NA151,Khoa học môi trường,2,7.7,3,B,Đạt
A50017,CS122,Lập trình hướng đối tượng,3,9.4,4,A,Đạt
A50017,ML202,Tư tưởng Hồ Chí Minh,2,7.3,4,B,Đạt
A50017,GE222,Tiếng Anh sơ trung cấp 2,2,6.9,4,C,Đạt
A50017,MA239,Xác suất thống kê,3,6.6,4,C,Đạt
A50017,IS224,Lập trình khoa học dữ liệu,3,6.7,4,C,Đạt
A50017,AI130,Trí tuệ nhân tạo,3,8.0,4,B,Đạt
A50018,CS100,Tin học đại cương,2,5.1,1,D,Đạt
A50018,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,6.0,1,C,Đạt
A50018,SH131,Pháp luật đại cương,2,5.1,1,D,Đạt
A50018,ML113,Triết học Mác - Lênin,3,7.0,1,B,Đạt
A50018,GE111,Tiếng Anh sơ cấp 1,2,5.4,1,D,Đạt
